,Description,Default Value,main_test_base,main_ctrl_base,main_test_n15,main_ctrl_n15,main_test_n20,main_ctrl_n20,main_test_n25,main_ctrl_n25,main_test_n50,main_ctrl_n50,main_test_noban_base,main_ctrl_noban_base,main_test_noban_n15,main_ctrl_noban_n15,main_test_noban_n20,main_ctrl_noban_n20,main_test_noban_n25,main_ctrl_noban_n25,main_test_noban_n50,main_ctrl_noban_n50,main_gc_base,main_gc_n15,main_gc_n20,main_gc_n25,main_gc_n50,main_gc_noban_base,main_gc_noban_n15,main_gc_noban_n20,main_gc_noban_n25,main_gc_noban_n50,ts_adv_base,ts_adv_n15,ts_adv_n25,ts_adv_n50,ts_th75_base,ts_th75_n15,ts_th75_n25,ts_th75_n50,ts_th50_base,ts_th50_n15,ts_th50_n25,ts_th50_n50,ts_th25_base,ts_th25_n15,ts_th25_n25,ts_th25_n50,ts_gc_adv_n25,ts_gc_th75_n25,ts_gc_th50_n25,ts_gc_th25_n25,mkt_test_refgas_nocap_iralow_base,mkt_ctrl_refgas_nocap_iralow_base,mkt_test_refgas_nocap_iralow_n25,mkt_ctrl_refgas_nocap_iralow_n25,mkt_test_refgas_nocap_highdem_base,mkt_ctrl_refgas_nocap_highdem_base,mkt_test_refgas_nocap_highdem_n25,mkt_ctrl_refgas_nocap_highdem_n25,mkt_test_refgas_cap90_iralow_base,mkt_ctrl_refgas_cap90_iralow_base,mkt_test_refgas_cap90_iralow_n25,mkt_ctrl_refgas_cap90_iralow_n25,mkt_test_refgas_cap90_highdem_base,mkt_ctrl_refgas_cap90_highdem_base,mkt_test_refgas_cap90_highdem_n25,mkt_ctrl_refgas_cap90_highdem_n25,mkt_test_loggas_nocap_iralow_base,mkt_ctrl_loggas_nocap_iralow_base,mkt_test_loggas_nocap_iralow_n25,mkt_ctrl_loggas_nocap_iralow_n25,mkt_test_loggas_nocap_highdem_base,mkt_ctrl_loggas_nocap_highdem_base,mkt_test_loggas_nocap_highdem_n25,mkt_ctrl_loggas_nocap_highdem_n25,mkt_test_loggas_cap90_iralow_base,mkt_ctrl_loggas_cap90_iralow_base,mkt_test_loggas_cap90_iralow_n25,mkt_ctrl_loggas_cap90_iralow_n25,mkt_test_loggas_cap90_highdem_base,mkt_ctrl_loggas_cap90_highdem_base,mkt_test_loggas_cap90_highdem_n25,mkt_ctrl_loggas_cap90_highdem_n25,mkt_test_hoggas_nocap_iralow_base,mkt_ctrl_hoggas_nocap_iralow_base,mkt_test_hoggas_nocap_iralow_n25,mkt_ctrl_hoggas_nocap_iralow_n25,mkt_test_hoggas_nocap_highdem_base,mkt_ctrl_hoggas_nocap_highdem_base,mkt_test_hoggas_nocap_highdem_n25,mkt_ctrl_hoggas_nocap_highdem_n25,mkt_test_hoggas_cap90_iralow_base,mkt_ctrl_hoggas_cap90_iralow_base,mkt_test_hoggas_cap90_iralow_n25,mkt_ctrl_hoggas_cap90_iralow_n25,mkt_test_hoggas_cap90_highdem_base,mkt_ctrl_hoggas_cap90_highdem_base,mkt_test_hoggas_cap90_highdem_n25,mkt_ctrl_hoggas_cap90_highdem_n25,mkt_test_trlim_nocap_iralow_base,mkt_ctrl_trlim_nocap_iralow_base,mkt_test_trlim_nocap_iralow_n25,mkt_ctrl_trlim_nocap_iralow_n25,mkt_test_trlim_nocap_highdem_base,mkt_ctrl_trlim_nocap_highdem_base,mkt_test_trlim_nocap_highdem_n25,mkt_ctrl_trlim_nocap_highdem_n25,mkt_test_trlim_cap90_iralow_base,mkt_ctrl_trlim_cap90_iralow_base,mkt_test_trlim_cap90_iralow_n25,mkt_ctrl_trlim_cap90_iralow_n25,mkt_test_trlim_cap90_highdem_base,mkt_ctrl_trlim_cap90_highdem_base,mkt_test_trlim_cap90_highdem_n25,mkt_ctrl_trlim_cap90_highdem_n25,pol_rpson_obbbaon_ban_base,pol_rpson_obbbaon_noban_base,pol_rpson_obbbaon_ban_n25,pol_rpson_obbbaon_noban_n25,pol_rpson_nobbba_ban_base,pol_rpson_nobbba_noban_base,pol_rpson_nobbba_ban_n25,pol_rpson_nobbba_noban_n25,pol_rpson_obbbaext_ban_base,pol_rpson_obbbaext_noban_base,pol_rpson_obbbaext_ban_n25,pol_rpson_obbbaext_noban_n25,pol_rpsoff_obbbaon_ban_base,pol_rpsoff_obbbaon_noban_base,pol_rpsoff_obbbaon_ban_n25,pol_rpsoff_obbbaon_noban_n25,pol_rpsoff_nobbba_ban_base,pol_rpsoff_nobbba_noban_base,pol_rpsoff_nobbba_ban_n25,pol_rpsoff_nobbba_noban_n25,pol_rpsoff_obbbaext_ban_base,pol_rpsoff_obbbaext_noban_base,pol_rpsoff_obbbaext_ban_n25,pol_rpsoff_obbbaext_noban_n25
GSw_GenMandate,,1,0,0,,,,,,,,,0,0,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
GSw_GenMandateList,,Nuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_interpolate_mandates,,0,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,2035-0.1_2050-0.2,2035-0.1_2050-0.2,2035-0.1_2050-0.25,2035-0.1_2050-0.25,2035-0.1_2050-0.5,2035-0.1_2050-0.5,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,2035-0.1_2050-0.2,2035-0.1_2050-0.2,2035-0.1_2050-0.25,2035-0.1_2050-0.25,2035-0.1_2050-0.5,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.2,2035-0.1_2050-0.25,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.2,2035-0.1_2050-0.25,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.25,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.25,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.25,2035-0.1_2050-0.5,,2035-0.1_2050-0.15,2035-0.1_2050-0.25,2035-0.1_2050-0.5,2035-0.1_2050-0.25,2035-0.1_2050-0.25,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25,,,2035-0.1_2050-0.25,2035-0.1_2050-0.25
GSw_NukeStateBan,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
GSw_StateRPS,Turn on/off state RPS requirements,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
incentives_suffix,File suffix for incentive definition,obbba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,none,none,none,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,,,,,none,none,none,none,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire
GSw_TCPhaseout,Switch for whether tax credit Phaseout is enabled (0=no; 1=yes),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
GSw_AnnualCap,CO2/CO2e emission cap. Turn off cap (0) or turn on CO2 only cap (1) or turn on CO2e cap (2) or include H2 leakage in CO2e cap (3),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_AnnualCapScen,Scenario for CO2 cap pathway (see inputs\emission_constraints\co2_cap.csv),default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,,,,,,,,,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,,,,,,,,,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,,,,,,,,,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,90_by_2050,,,,,,,,,,,,,,,,,,,,,,,,
GSw_LoadProfiles,Switch to choose electricity profiles,EER_IRAlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,,,,,,,,,,,,,,,,,,,,
ngscen,Natural gas price inputs (see inputs\fuelprices),AEO_2025_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_LOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,AEO_2025_HOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_InterDayLinkage,Turn on (1) or off (0) the ability for interday storage techs (specified in tech-subset-table.csv) to shift energy between representative days (non-interday techs are unaffected),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NewValCapShrink,switch to shrink valcap and related conditioning sets post-solve,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_PRM_StressIterateMax,Max number of times to iterate on a given solve year to achieve GSw_PRM_StressThreshold when using stress periods (0 means don't iterate; 1 means 1 extra ReEDS run; etc),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_battery,,battery_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_cap_cost_diff_suffix,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransInvMaxLongTerm,[TW-mile/year] maximum transmission capacity investment per year IN/AFTER firstyear_trans_longterm (0 = unlimited),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,
GSw_RegionResolution,,aggreg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_HierarchyFile,,agg54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
